empresa;abertura;data_atendimento;tempo_horas
HGL;2025-02-07 00:00:00;2025-02-07 08:32:00;8,533333333333333
HDS;2025-02-01 00:12:00;2025-02-19 16:00:00;447,8
HCD;2025-02-01 00:13:00;2025-02-11 14:20:00;254,11666666666667
HDS;2025-02-03 00:00:00;2025-02-03 07:35:00;7,583333333333333
HDS;2025-02-17 00:00:00;2025-02-19 08:01:00;56,016666666666666
HDS;2025-02-24 01:00:00;2025-02-24 08:15:00;7,25
HCD;2025-02-01 00:12:00;2025-02-17 13:25:00;397,21666666666664
HCD;2025-02-01 00:12:00;2025-02-17 13:55:00;397,71666666666664
HCD;2025-02-01 00:13:00;2025-02-10 16:25:00;232,2
HCD;2025-02-24 01:00:00;2025-02-24 17:45:00;16,75
HDS;2025-02-19 00:00:00;2025-02-19 07:49:00;7,816666666666666
HCD;2025-02-01 00:12:00;2025-02-17 13:10:00;396,96666666666664
HCD;2025-02-01 00:14:00;2025-02-24 10:30:00;562,2666666666667
HDS;2025-02-19 00:00:00;2025-02-19 07:40:00;7,666666666666667
HCD;2025-02-01 00:12:00;2025-02-17 13:20:00;397,1333333333333
HCD;2025-02-04 00:00:00;2025-02-04 07:10:00;7,166666666666667
HCD;2025-02-07 00:00:00;2025-02-07 08:00:00;8,0
HGL;2025-02-01 00:15:00;2025-02-26 17:35:00;617,3333333333334
HCD;2025-02-01 00:14:00;2025-02-27 08:15:00;632,0166666666667
HCD;2025-02-04 00:00:00;2025-02-04 07:00:00;7,0
HCD;2025-02-09 00:00:00;2025-02-09 09:30:00;9,5
HGL;2025-02-08 00:00:00;2025-02-20 15:23:00;303,3833333333333
HCD;2025-02-17 08:32:00;2025-02-17 09:10:00;0,6333333333333333
HCD;2025-02-01 00:13:00;2025-02-27 09:00:00;632,7833333333333
HCD;2025-02-01 00:13:00;2025-02-11 09:30:00;249,28333333333333
HGL;2025-02-01 00:16:00;2025-02-11 13:00:00;252,73333333333332
CRE;2025-02-01 00:11:00;2025-02-19 13:45:00;445,56666666666666
HCD;2025-02-01 00:13:00;2025-02-18 15:15:00;423,03333333333336
HDS;2025-02-01 00:11:00;2025-02-10 12:08:00;227,95
CRE;2025-02-01 00:11:00;2025-02-18 15:10:00;422,98333333333335
HCD;2025-02-01 00:14:00;2025-02-18 13:15:00;421,01666666666665
CRE;2025-02-01 00:11:00;2025-02-03 09:50:00;57,65
HCD;2025-02-01 00:13:00;2025-02-27 09:15:00;633,0333333333333
HCD;2025-02-01 00:14:00;2025-02-21 09:20:00;489,1
HCD;2025-02-01 00:12:00;2025-02-27 14:40:00;638,4666666666667
HCD;2025-02-01 00:15:00;2025-02-01 17:30:00;17,25
CRE;2025-02-01 00:11:00;2025-02-07 11:15:00;155,06666666666666
HDS;2025-02-01 00:12:00;2025-03-13 14:44:00;974,5333333333333
CRE;2025-02-01 00:11:00;2025-02-03 14:20:00;62,15
HCD;2025-02-03 00:00:00;2025-02-03 20:00:00;20,0
CRE;2025-02-01 00:11:00;2025-02-28 14:00:00;661,8166666666667
HCD;2025-02-01 00:12:00;2025-02-17 14:00:00;397,8
HGL;2025-02-01 00:16:00;2025-02-05 09:00:00;104,73333333333333
HGL;2025-02-01 00:16:00;2025-02-04 10:30:00;82,23333333333333
HCD;2025-02-02 00:00:00;2025-02-02 19:40:00;19,666666666666668
HCD;2025-02-01 00:13:00;2025-02-17 08:15:00;392,03333333333336
HGL;2025-02-01 08:26:00;2025-02-01 08:27:00;0,016666666666666666
HCD;2025-02-01 00:12:00;2025-02-27 14:00:00;637,8
CRE;2025-02-01 00:11:00;2025-02-14 09:30:00;321,31666666666666
HCD;2025-02-01 00:14:00;2025-02-11 13:15:00;253,01666666666668
HCD;2025-02-01 00:14:00;2025-02-19 09:10:00;440,93333333333334
HCD;2025-02-01 00:15:00;2025-02-18 08:00:00;415,75
HCD;2025-02-01 00:13:00;2025-02-26 14:15:00;614,0333333333333
HGL;2025-02-01 00:16:00;2025-02-20 10:00:00;465,73333333333335
HCD;2025-02-01 00:12:00;2025-02-12 08:40:00;272,46666666666664
HCD;2025-02-01 00:14:00;2025-02-24 08:30:00;560,2666666666667
CRE;2025-02-01 00:11:00;2025-02-03 12:30:00;60,31666666666667
HGL;2025-02-01 00:16:00;2025-02-11 10:00:00;249,73333333333332
HGL;2025-02-01 00:15:00;2025-02-25 08:10:00;583,9166666666666
CRE;2025-02-01 00:11:00;2025-02-19 08:30:00;440,31666666666666
HCD;2025-02-01 00:15:00;2025-02-24 14:45:00;566,5
HCD;2025-02-01 00:12:00;2025-02-26 08:43:00;608,5166666666667
CRE;2025-02-01 00:11:00;2025-02-24 13:30:00;565,3166666666667
HGL;2025-02-01 00:17:00;2025-02-17 10:30:00;394,21666666666664
HDS;2025-02-01 00:12:00;2025-03-08 08:26:00;848,2333333333333
HCD;2025-02-01 00:12:00;2025-02-11 08:00:00;247,8
HCD;2025-02-01 00:12:00;2025-02-28 00:30:00;648,3
CRE;2025-02-01 00:11:00;2025-02-19 16:36:00;448,4166666666667
HGL;2025-02-01 00:16:00;2025-02-11 13:40:00;253,4
HGL;2025-02-01 08:00:00;2025-02-28 17:50:00;657,8333333333334
HCD;2025-02-01 00:15:00;2025-02-24 13:15:00;565,0
CRE;2025-02-03 10:00:00;2025-02-03 10:10:00;0,16666666666666666
HDS;2025-02-01 00:12:00;2025-03-13 12:15:00;972,05
CRE;2025-02-03 15:00:00;2025-02-03 17:00:00;2,0
CRE;2025-02-01 00:11:00;2025-02-20 08:15:00;464,06666666666666
HCD;2025-02-01 00:15:00;2025-02-26 07:15:00;607,0
HGL;2025-02-01 00:16:00;2025-02-24 09:10:00;560,9
HDS;2025-02-03 00:00:00;2025-02-17 09:16:00;345,26666666666665
CRE;2025-02-03 11:07:00;2025-02-05 17:10:00;54,05
CRE;2025-02-01 00:11:00;2025-02-19 15:54:00;447,71666666666664
HCD;2025-02-01 00:12:00;2025-02-15 15:00:00;350,8
HGL;2025-02-01 00:15:00;2025-02-26 08:45:00;608,5
CRE;2025-02-01 00:11:00;2025-02-24 08:20:00;560,15
HGL;2025-02-01 00:16:00;2025-02-26 11:35:00;611,3166666666667
HCD;2025-02-01 00:14:00;2025-02-24 13:35:00;565,35
HCD;2025-02-01 00:13:00;2025-02-25 01:30:00;577,2833333333333
HGL;2025-02-01 00:17:00;2025-02-01 06:56:00;6,65
HGL;2025-02-01 00:16:00;2025-02-26 15:30:00;615,2333333333333
HGL;2025-02-01 00:17:00;2025-02-06 10:30:00;130,21666666666667
CRE;2025-02-03 08:55:00;2025-02-04 08:20:00;23,416666666666668
CRE;2025-02-03 10:00:00;2025-02-03 10:10:00;0,16666666666666666
CRE;2025-02-01 00:11:00;2025-02-25 08:47:00;584,6
HCD;2025-02-01 00:12:00;2025-02-06 15:15:00;135,05
HCD;2025-02-01 00:12:00;2025-02-27 12:40:00;636,4666666666667
HGL;2025-02-02 00:00:00;2025-02-02 19:00:00;19,0
HCD;2025-02-01 00:14:00;2025-02-18 08:00:00;415,76666666666665
HDS;2025-02-01 00:12:00;2025-03-15 09:30:00;1017,3
CRE;2025-02-01 07:00:00;2025-02-01 07:10:00;0,16666666666666666
HDS;2025-02-01 00:11:00;2025-02-10 09:32:00;225,35
HCD;2025-02-01 00:12:00;2025-02-04 13:15:00;85,05
HDS;2025-02-01 00:11:00;2025-02-10 12:24:00;228,21666666666667
HCD;2025-02-01 00:15:00;2025-02-27 09:50:00;633,5833333333334
HDS;2025-02-01 00:12:00;2025-02-25 17:20:00;593,1333333333333
HCD;2025-02-01 00:15:00;2025-02-21 08:30:00;488,25
HCD;2025-02-01 00:13:00;2025-02-11 13:25:00;253,2
HCD;2025-02-01 00:15:00;2025-02-26 15:00:00;614,75
HGL;2025-02-01 00:15:00;2025-02-25 10:20:00;586,0833333333334
HDS;2025-02-01 00:12:00;2025-02-18 15:25:00;423,21666666666664
HGL;2025-02-01 00:17:00;2025-02-21 08:50:00;488,55
HGL;2025-02-01 00:16:00;2025-02-26 13:15:00;612,9833333333333
HCD;2025-02-01 00:12:00;2025-02-05 08:30:00;104,3
HGL;2025-02-01 00:16:00;2025-02-12 10:15:00;273,98333333333335
HCD;2025-02-01 00:13:00;2025-02-24 15:15:00;567,0333333333333
HCD;2025-02-01 00:12:00;2025-02-12 09:30:00;273,3
HGL;2025-02-01 05:59:00;2025-03-15 13:40:00;1015,6833333333333
HGL;2025-02-01 00:16:00;2025-02-26 11:05:00;610,8166666666667
HGL;2025-02-01 00:17:00;2025-02-25 09:30:00;585,2166666666667
CRE;2025-02-01 00:11:00;2025-02-26 08:20:00;608,15
HCD;2025-02-01 00:14:00;2025-02-17 08:00:00;391,76666666666665
HCD;2025-02-01 00:13:00;2025-02-18 13:55:00;421,7
HGL;2025-02-01 00:17:00;2025-02-05 09:00:00;104,71666666666667
CRE;2025-02-01 00:11:00;2025-02-28 09:55:00;657,7333333333333
HCD;2025-02-01 00:12:00;2025-02-13 10:30:00;298,3
CRE;2025-02-01 00:11:00;2025-02-25 15:02:00;590,85
HGL;2025-02-01 00:17:00;2025-02-24 10:10:00;561,8833333333333
HCD;2025-02-01 00:15:00;2025-02-01 10:30:00;10,25
HGL;2025-02-01 00:15:00;2025-02-20 09:05:00;464,8333333333333
CRE;2025-02-01 00:11:00;2025-02-21 16:10:00;495,98333333333335
CRE;2025-02-01 00:11:00;2025-02-03 09:10:00;56,983333333333334
CRE;2025-02-01 00:11:00;2025-02-19 10:50:00;442,65
HCD;2025-02-01 12:00:00;2025-02-01 18:30:00;6,5
HCD;2025-02-01 00:12:00;2025-02-08 02:30:00;170,3
HCD;2025-02-14 01:00:00;2025-02-14 07:00:00;6,0
HCD;2025-02-01 00:13:00;2025-02-24 15:00:00;566,7833333333333
HCD;2025-02-01 00:12:00;2025-02-11 17:37:00;257,4166666666667
HGL;2025-02-01 00:16:00;2025-02-18 08:10:00;415,9
HDS;2025-02-01 00:12:00;2025-02-12 16:19:00;280,1166666666667
HCD;2025-02-01 00:12:00;2025-02-23 02:30:00;530,3
HCD;2025-02-02 09:26:00;2025-02-02 13:00:00;3,566666666666667
HDS;2025-02-01 00:12:00;2025-03-01 11:20:00;683,1333333333333
HGL;2025-02-03 14:00:00;2025-02-03 14:10:00;0,16666666666666666
HGL;2025-02-01 00:15:00;2025-02-21 08:00:00;487,75
HCD;2025-02-01 00:13:00;2025-02-11 13:30:00;253,28333333333333
HCD;2025-02-01 00:14:00;2025-02-18 10:40:00;418,43333333333334
HGL;2025-02-01 00:17:00;2025-02-07 13:00:00;156,71666666666667
CRE;2025-02-03 11:07:00;2025-02-05 17:10:00;54,05
HDS;2025-02-01 00:11:00;2025-02-10 09:52:00;225,68333333333334
HCD;2025-02-01 00:12:00;2025-02-19 13:40:00;445,46666666666664
HCD;2025-02-03 09:13:00;2025-02-03 09:59:00;0,7666666666666667
HCD;2025-02-01 00:12:00;2025-02-18 22:00:00;429,8
CRE;2025-02-01 00:11:00;2025-02-21 13:30:00;493,31666666666666
HGL;2025-02-03 00:00:00;2025-02-07 08:00:00;104,0
HGL;2025-02-01 00:17:00;2025-02-20 08:50:00;464,55
HDS;2025-02-01 00:12:00;2025-02-25 10:01:00;585,8166666666667
CRE;2025-02-01 00:11:00;2025-02-21 15:30:00;495,31666666666666
HCD;2025-02-01 00:13:00;2025-02-20 15:15:00;471,03333333333336
CRE;2025-02-01 00:11:00;2025-02-24 09:11:00;561,0
CRE;2025-02-01 00:11:00;2025-02-10 13:20:00;229,15
HGL;2025-02-01 00:15:00;2025-02-20 08:40:00;464,4166666666667
CRE;2025-02-01 00:11:00;2025-02-03 15:40:00;63,483333333333334
HGL;2025-02-01 00:15:00;2025-02-03 08:20:00;56,083333333333336
HDS;2025-02-01 00:11:00;2025-02-12 12:07:00;275,93333333333334
HDS;2025-02-01 00:11:00;2025-02-10 08:56:00;224,75
CRE;2025-02-01 00:11:00;2025-02-21 17:20:00;497,15
HGL;2025-02-01 00:16:00;2025-02-27 08:15:00;631,9833333333333
HCD;2025-02-01 00:12:00;2025-02-10 10:00:00;225,8
HCD;2025-02-01 00:14:00;2025-02-17 13:45:00;397,51666666666665
HCD;2025-02-01 00:13:00;2025-02-07 15:30:00;159,28333333333333
HDS;2025-02-01 00:12:00;2025-02-12 15:37:00;279,4166666666667
CRE;2025-02-03 13:18:00;2025-02-04 08:50:00;19,533333333333335
HGL;2025-02-03 00:00:00;2025-02-03 07:00:00;7,0
CRE;2025-02-03 15:00:00;2025-02-03 17:00:00;2,0
HGL;2025-02-01 00:17:00;2025-02-06 10:45:00;130,46666666666667
